index,species,location,ts.length,ts.start,ts.end,region,pse
148,Coho,Haida Gwaii-Graham Island Lowlands,45,1954,2008,BC,1
149,Coho,Hecate Strait Mainland,60,1954,2013,BC,1
150,Coho,Lower Nass,54,1959,2013,BC,1
151,Coho,Lower Skeena,57,1954,2013,BC,1
152,Coho,Middle Skeena,60,1954,2013,BC,1
153,Coho,Mussel-Kynoch,57,1954,2010,BC,1
154,Coho,Northern Coastal Streams,60,1954,2013,BC,1
155,Coho,Portland Sound-Observatory Inlet-Portland Canal,37,1954,2010,BC,1
156,Coho,Smith Inlet,25,1955,2010,BC,1
157,Coho,Upper Nass,43,1970,2013,BC,1
158,Coho,Upper Skeena,21,1958,2013,BC,1
159,Coho,West Haida Gwaii,34,1964,2005,BC,1
160,Coho,Clackamas River,43,1968,2010,WA-OR,0
161,Coho,Clackamas River Early,42,1973,2014,WA-OR,0
162,Coho,Clackamas River Late,39,1973,2011,WA-OR,0
163,Coho,OCN Lakes,45,1970,2014,WA-OR,0
164,Coho,OCN Rivers,45,1970,2014,WA-OR,0
165,Coho,Sandy River,34,1974,2010,WA-OR,0
166,Pink,Central Chig_even,24,1962,2008,AK,0
167,Pink,Central Chig_odd,24,1963,2009,AK,0
168,Pink,Chignik Bay_even,22,1962,2008,AK,0
169,Pink,Chignik Bay_odd,21,1963,2009,AK,0
170,Pink,E Chig_even,24,1962,2008,AK,0
171,Pink,E Chig_odd,24,1963,2009,AK,0
172,Pink,Moses-Norton_even,23,1964,2008,AK,0
173,Pink,Moses-Norton_odd,24,1963,2009,AK,0
174,Pink,N SEAK Inside_even,25,1960,2008,AK,0
175,Pink,N SEAK Inside_odd,24,1961,2007,AK,0
176,Pink,N SEAK Outside_even,25,1960,2008,AK,0
177,Pink,N SEAK Outside_odd,24,1961,2007,AK,0
178,Pink,Nome_odd,20,1971,2009,AK,0
179,Pink,Nushagak,23,1958,2002,AK,0
180,Pink,NW AKPen_even,23,1962,2008,AK,0
181,Pink,NW AKPen_odd,24,1963,2009,AK,0
182,Pink,Perryville_even,24,1962,2008,AK,0
183,Pink,Perryville_odd,24,1963,2009,AK,0
184,Pink,PWS_even,25,1960,2008,AK,0
185,Pink,PWS_odd,25,1961,2009,AK,0
186,Pink,S SEAK_even,25,1960,2008,AK,0
187,Pink,S SEAK_odd,24,1961,2007,AK,0
188,Pink,SE-SC AKPen_even,24,1962,2008,AK,0
189,Pink,SE-SC AKPen_odd,24,1963,2009,AK,0
190,Pink,SW-Unimak_even,24,1962,2008,AK,0
191,Pink,SW-Unimak_odd,24,1963,2009,AK,0
192,Pink,W Chig_even,24,1962,2008,AK,0
193,Pink,W Chig_odd,24,1963,2009,AK,0
194,Pink,BC South (no Fraser)_even,28,1954,2008,BC,0
195,Pink,BC South (no Fraser)_odd,28,1953,2007,BC,0
196,Pink,Fraser,21,1961,2001,BC,0
197,Pink,Dungeness,25,1959,2007,WA-OR,0
198,Pink,Hood Canal,25,1959,2007,WA-OR,0
199,Pink,Nooksack,25,1959,2007,WA-OR,0
200,Pink,Puyallup,25,1959,2007,WA-OR,0
201,Pink,Skagit,25,1959,2007,WA-OR,0
202,Pink,Snohomish,25,1959,2007,WA-OR,0
203,Pink,Stillaguamish,25,1959,2007,WA-OR,0
204,Pink (even),East Haida Gwaii (even),31,1954,2014,BC,1
205,Pink (even),Georgia Strait (even),31,1954,2014,BC,1
206,Pink (even),Hecate Lowlands (even),31,1954,2014,BC,1
207,Pink (even),Hecate Strait-Fjords (even),31,1954,2014,BC,1
208,Pink (even),Middle-Upper Skeena (even),31,1954,2014,BC,1
209,Pink (even),Nass-Skeena Estuary (even),31,1954,2014,BC,1
210,Pink (even),North Haida Gwaii (even),30,1954,2012,BC,1
211,Pink (even),Southern Fjords (even),31,1954,2014,BC,1
212,Pink (even),West Haida Gwaii (even),31,1954,2014,BC,1
213,Pink (odd),East Haida Gwaii (odd),31,1955,2015,BC,1
214,Pink (odd),East Howe Sound-Burrard Inlet (odd),29,1957,2013,BC,1
215,Pink (odd),East Vancouver Island-Johnstone Strait (odd),29,1957,2013,BC,1
216,Pink (odd),Fraser River (odd),30,1959,2017,BC,1
217,Pink (odd),Georgia Strait (odd),29,1957,2013,BC,1
218,Pink (odd),Hecate Strait-Fjords (odd),31,1955,2015,BC,1
219,Pink (odd),Hecate Strait-Lowlands (odd),31,1955,2015,BC,1
220,Pink (odd),Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd),30,1955,2013,BC,1
221,Pink (odd),Lower Skeena River (odd),31,1955,2015,BC,1
222,Pink (odd),Middle-Upper Skeena (odd),31,1955,2015,BC,1
223,Pink (odd),Nahwitti (odd),29,1957,2013,BC,1
224,Pink (odd),Nass-Portland-Observatory (odd),31,1955,2015,BC,1
225,Pink (odd),Nass-Skeena Estuary (odd),31,1955,2015,BC,1
226,Pink (odd),Southern Fjords (odd),29,1957,2013,BC,1
227,Sockeye,Ayakulik,45,1966,2010,AK,0
228,Sockeye,Bear,30,1981,2010,AK,0
229,Sockeye,Black Lake,46,1965,2010,AK,0
230,Sockeye,Chignik Lake,46,1965,2010,AK,0
231,Sockeye,Chilkoot,36,1976,2011,AK,0
232,Sockeye,Coghill,47,1962,2008,AK,0
233,Sockeye,Copper,50,1961,2010,AK,0
234,Sockeye,Early Karluk,30,1981,2010,AK,0
235,Sockeye,Early Upper Station,42,1969,2010,AK,0
236,Sockeye,Egegik,49,1963,2011,AK,0
237,Sockeye,Eshamy,35,1964,2006,AK,0
238,Sockeye,Frazer,44,1966,2009,AK,0
239,Sockeye,Goodnews,29,1981,2009,AK,0
240,Sockeye,Igushik,50,1963,2012,AK,0
241,Sockeye,Kasilof,43,1968,2010,AK,0
242,Sockeye,Kenai,43,1968,2010,AK,0
243,Sockeye,Kvichak,50,1963,2012,AK,0
244,Sockeye,Late Karluk,31,1981,2011,AK,0
245,Sockeye,Late Upper Station,41,1970,2010,AK,0
246,Sockeye,Naknek,50,1963,2012,AK,0
247,Sockeye,Nelson,30,1981,2010,AK,0
248,Sockeye,Nushagak,50,1963,2012,AK,0
249,Sockeye,Redoubt,29,1982,2010,AK,0
250,Sockeye,Togiak,56,1956,2011,AK,0
251,Sockeye,Ugashik,50,1963,2012,AK,0
252,Sockeye,Wood,50,1963,2012,AK,0
253,Sockeye,Alastair,48,1960,2011,BC,1
254,Sockeye,Anderson-Seton-Early Summer,44,1968,2011,BC,1
255,Sockeye,Atnarko,25,1987,2011,BC,0
256,Sockeye,Awun,49,1957,2012,BC,1
257,Sockeye,Birkenhead,61,1950,2011,BC,0
258,Sockeye,Bloomfield,44,1954,2008,BC,1
259,Sockeye,Bowron,62,1950,2011,BC,0
260,Sockeye,Canoona,30,1975,2008,BC,1
261,Sockeye,Chilko,62,1950,2011,BC,0
262,Sockeye,Cultus,49,1950,1999,BC,0
263,Sockeye,Curtis Inlet,27,1960,2002,BC,1
264,Sockeye,Damdochax,21,1982,2011,BC,1
265,Sockeye,Devon,39,1960,2002,BC,1
266,Sockeye,Early Stuart,62,1950,2011,BC,0
267,Sockeye,Evelyn,46,1954,2011,BC,1
268,Sockeye,Fennell,46,1963,2011,BC,0
269,Sockeye,Francois-Fraser-Summer,62,1950,2011,BC,1
270,Sockeye,Gates,44,1968,2011,BC,0
271,Sockeye,Great Central,35,1977,2011,BC,1
272,Sockeye,Harrison,62,1950,2011,BC,0
273,Sockeye,Harrison-Upstream Migrating-Late,46,1966,2011,BC,1
274,Sockeye,Hartley Bay,28,1955,2011,BC,1
275,Sockeye,Kadjusdis River,29,1954,2006,BC,1
276,Sockeye,Kainet Creek,35,1956,2011,BC,1
277,Sockeye,Kamloops-Early Summer,62,1950,2011,BC,1
278,Sockeye,Kitlope,48,1954,2011,BC,1
279,Sockeye,Kitsumkalum,45,1960,2011,BC,1
280,Sockeye,Koeye,25,1954,2000,BC,1
281,Sockeye,Lakelse,42,1960,2011,BC,1
282,Sockeye,Late Shuswap,59,1950,2010,BC,0
283,Sockeye,Late Stuart,62,1950,2011,BC,0
284,Sockeye,Lillooet-Harrison-Late,61,1950,2011,BC,1
285,Sockeye,Long,55,1954,2008,BC,1
286,Sockeye,Lowe/Simpson/Weir,26,1960,1995,BC,1
287,Sockeye,Marian/Eden,41,1954,2012,BC,1
288,Sockeye,Mary Cove Creek,33,1954,1996,BC,1
289,Sockeye,Mcdonell/Dennis/Aldrich,29,1960,2009,BC,1
290,Sockeye,Mercer,34,1954,2012,BC,1
291,Sockeye,Meziadin,31,1982,2012,BC,1
292,Sockeye,Mikado,33,1960,2001,BC,1
293,Sockeye,Morice/Atna,40,1960,2011,BC,1
294,Sockeye,Nadina,39,1973,2011,BC,0
295,Sockeye,Namu,23,1954,2011,BC,1
296,Sockeye,Nass (Meziadin),39,1972,2010,BC,0
297,Sockeye,Nimpkish,43,1970,2012,BC,1
298,Sockeye,North Barriere-Early Summer (de novo),45,1967,2011,BC,1
299,Sockeye,Northern Coastal Fjords (river-type),52,1960,2011,BC,1
300,Sockeye,Osoyoos,23,1985,2007,BC,0
301,Sockeye,Owikeno,58,1954,2011,BC,1
302,Sockeye,Owikeno Lake,24,1987,2010,BC,0
303,Sockeye,Pitt,62,1950,2011,BC,0
304,Sockeye,Portage,57,1951,2011,BC,0
305,Sockeye,Prudhomme,49,1960,2011,BC,1
306,Sockeye,Quesnel,62,1950,2011,BC,0
307,Sockeye,Raft,62,1950,2011,BC,0
308,Sockeye,Scotch,40,1965,2011,BC,0
309,Sockeye,Seton-Late (de novo),58,1953,2011,BC,1
310,Sockeye,Seymour,61,1950,2010,BC,0
311,Sockeye,Shawatlan,37,1960,2002,BC,1
312,Sockeye,Shuswap Complex_Late,57,1950,2006,BC,0
313,Sockeye,Shuswap_Early Summer,27,1980,2006,BC,0
314,Sockeye,Skidegate,56,1956,2012,BC,1
315,Sockeye,Sproat,35,1977,2011,BC,1
316,Sockeye,Stellako,62,1950,2011,BC,0
317,Sockeye,Stephens,38,1960,2011,BC,1
318,Sockeye,Swan/Club,24,1960,2011,BC,1
319,Sockeye,Takla/Trembleur/Stuart_Summer,57,1950,2006,BC,0
320,Sockeye,Takla/Trembleur_Early Stuart,57,1950,2006,BC,0
321,Sockeye,Tankeeah River,37,1954,2008,BC,1
322,Sockeye,Weaver,46,1966,2011,BC,0
323,Sockeye,Yakoun,50,1957,2012,BC,1
324,Sockeye,Yeo,27,1954,2008,BC,1
325,Sockeye,Washington,44,1968,2011,WA-OR,0
