"","index","species","location","ts.length","ts.start","ts.end"
"71",71,"Lake sockeye","Great Central",35,1977,2011
"72",72,"Lake sockeye","Harrison-Upstream Migrating-Late",46,1966,2011
"73",73,"Lake sockeye","Hartley Bay",28,1955,2011
"74",74,"Lake sockeye","Kadjusdis River",29,1954,2006
"75",75,"Lake sockeye","Kainet Creek",35,1956,2011
"76",76,"Lake sockeye","Kamloops-Early Summer",62,1950,2011
"78",78,"Lake sockeye","Kitlope",48,1954,2011
"79",79,"Lake sockeye","Kitsumkalum",45,1960,2011
"80",80,"Lake sockeye","Koeye",25,1954,2000
"82",82,"Lake sockeye","Lakelse",42,1960,2011
"83",83,"Lake sockeye","Lillooet-Harrison-Late",61,1950,2011
"84",84,"Lake sockeye","Long",55,1954,2008
"85",85,"Lake sockeye","Lowe/Simpson/Weir",26,1960,1995
"86",86,"Lake sockeye","Marian/Eden",41,1954,2012
"87",87,"Lake sockeye","Mary Cove Creek",33,1954,1996
"88",88,"Lake sockeye","Mcdonell/Dennis/Aldrich",29,1960,2009
"89",89,"Lake sockeye","Mercer",34,1954,2012
"90",90,"Lake sockeye","Meziadin",31,1982,2012
"91",91,"Lake sockeye","Mikado",33,1960,2001
"92",92,"Lake sockeye","Morice/Atna",40,1960,2011
"94",94,"Lake sockeye","Nadina-Francois-Early Summer",39,1973,2011
"95",95,"Lake sockeye","Namu",23,1954,2011
"97",97,"Lake sockeye","Nimpkish",43,1970,2012
"98",98,"Lake sockeye","North Barriere-Early Summer (de novo)",45,1967,2011
"99",99,"Lake sockeye","Northern Coastal Fjords (river-type)",52,1960,2011
"100",100,"Lake sockeye","Owikeno",58,1954,2011
"101",101,"Lake sockeye","Pitt-Early Summer",62,1950,2011
"103",103,"Lake sockeye","Prudhomme",49,1960,2011
"105",105,"Lake sockeye","Seton-Late (de novo)",58,1953,2011
"106",106,"Lake sockeye","Shawatlan",37,1960,2002
"107",107,"Lake sockeye","Skidegate",56,1956,2012
"108",108,"Lake sockeye","Sproat",35,1977,2011
"109",109,"Lake sockeye","Stephens",38,1960,2011
"110",110,"Lake sockeye","Swan/Club",24,1960,2011
"112",112,"Lake sockeye","Tankeeah River",37,1954,2008
"114",114,"Lake sockeye","Yakoun",50,1957,2012
"115",115,"Lake sockeye","Yeo",27,1954,2008
"116",116,"Pink (even)","East Haida Gwaii (even)",31,1954,2014
"117",117,"Pink (even)","Georgia Strait (even)",31,1954,2014
"118",118,"Pink (even)","Hecate Lowlands (even)",31,1954,2014
"119",119,"Pink (even)","Hecate Strait-Fjords (even)",31,1954,2014
"120",120,"Pink (even)","Middle-Upper Skeena (even)",31,1954,2014
"121",121,"Pink (even)","Nass-Skeena Estuary (even)",31,1954,2014
"122",122,"Pink (even)","North Haida Gwaii (even)",30,1954,2012
"123",123,"Pink (even)","Southern Fjords (even)",31,1954,2014
"124",124,"Pink (even)","West Haida Gwaii (even)",31,1954,2014
"125",125,"Pink (odd)","East Haida Gwaii (odd)",31,1955,2015
"126",126,"Pink (odd)","East Howe Sound-Burrard Inlet (odd)",29,1957,2013
"127",127,"Pink (odd)","East Vancouver Island-Johnstone Strait (odd)",29,1957,2013
"128",128,"Pink (odd)","Fraser River (odd)",30,1959,2017
"129",129,"Pink (odd)","Georgia Strait (odd)",29,1957,2013
"130",130,"Pink (odd)","Hecate Strait-Fjords (odd)",31,1955,2015
"131",131,"Pink (odd)","Hecate Strait-Lowlands (odd)",31,1955,2015
"132",132,"Pink (odd)","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)",30,1955,2013
"133",133,"Pink (odd)","Lower Skeena River (odd)",31,1955,2015
"134",134,"Pink (odd)","Middle-Upper Skeena (odd)",31,1955,2015
"135",135,"Pink (odd)","Nahwitti (odd)",29,1957,2013
"136",136,"Pink (odd)","Nass-Portland-Observatory (odd)",31,1955,2015
"137",137,"Pink (odd)","Nass-Skeena Estuary (odd)",31,1955,2015
"138",138,"Pink (odd)","Southern Fjords (odd)",29,1957,2013
"139",139,"River sockeye","Harrison River (river-type)",61,1950,2010
