"","stock.id","species","stock","date.data.obtained","date.data.incorporated","ocean.region","region","sub.region","jurisdiction","lat","lon","source.id","comment..we.will.update.this.later.","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"29",129,"Sockeye","Redoubt","8/22/17","9/13/17","WC","SEAK","SEAK","AK",56.9,-135.33,2,"Dominant age classes estimated from escapement age; Used RR 1 sheet.",29,1982,2010,1.69077394108121,4.03573455245283e-05,24778.6366274319,49439.8014270426,1.00271323833016,0.303013960949336,-0.0775424918803314,0.606501471340945,0.517241379310345,1.70662004981461,4.08099421274344e-05,24503.8328375318,49672.4074817065,1.00202134551852,0.288523057184744,0.0613729331894299,-0.218022467943366,-0.293077136931739,31675.5318932138,27798.9234445309
"31",131,"Sockeye","Chilkoot","8/2/17","9/13/17","WC","SEAK","SEAK","AK",58.92,-135.23,2,NA,36,1976,2011,1.66761754653725,1.37079421339512e-05,72950.410078202,142223.169890825,0.844211543230259,0.543155643523567,0.219785639886351,0.75898270305254,0.527777777777778,1.34574869460739,8.97123823528115e-06,111467.333022916,157508.632330025,0.84397688190833,0.525411439927529,0.328551667742486,0.331772196545524,0.186755880648402,66088.0555555556,26241.2033358059
"38",138,"Sockeye","Copper","8/23/17","8/23/17","GOA","PWS","PWS","AK",60.46,-144.96,2,"Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries.",50,1961,2010,1.75450840599661,1.22429727527427e-06,816795.087431665,1736968.54700147,0.395672889121622,0.489270419457846,0.186862462550339,0.706978588973371,0.96,1.53117514351975,8.2157244087048e-07,1217178.12118974,2070334.74692714,0.389385174943434,0.437412506597118,0.207519469201172,-0.028033786002043,-0.120509746389699,527100.734368,183809.397791655
"39",139,"Sockeye","Coghill","8/22/17","8/22/17","GOA","PWS","PWS","AK",61.06,-147.94,2,"Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis.",47,1962,2008,1.66149335205808,1.22767566131325e-05,81454.7385365854,157833.528841706,1.03293826977302,0.202351891269357,-0.0851087994827051,0.458714891117694,0.872340425531915,1.67966655279094,1.25192115223471e-05,79877.2349372779,157615.330199508,1.03356435753987,0.20378852574153,0.045435403383811,0.111232663321856,0.221168401046275,52172.085106383,44810.693010966
"40",140,"Sockeye","Eshamy","8/22/17","8/22/17","GOA","PWS","PWS","AK",60.47,-147.94,2,"the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns.",35,1964,2006,1.72489619873205,2.88313398821688e-05,34684.478906874,71606.6890342554,0.740363379970962,0.189339933968104,-0.171843826681186,0.505652096001076,0.657142857142857,1.75458792473642,3.0250655627999e-05,33057.1347708059,70303.7644553856,0.738655678497715,0.159559924193707,0.0292757923629685,-0.179890878638546,-0.0604912829944979,28103.2285714286,19168.7810562256
"41",141,"Sockeye","Kenai","8/22/17","9/7/17","GOA","Cook Inlet","Upper Cook Inlet","AK",60.54,-151.28,6,"Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)",43,1968,2010,1.69621459961079,3.78389323068179e-07,2642780.69976044,5301799.32277779,0.466024524232575,0.248045743884917,-0.111547689175305,0.55020309945245,1,1.79192983267586,4.94628168146167e-07,2021720.68717383,4463257.1707271,0.462825412924318,0.195820224273309,0.137808472201433,-0.112121747236488,-0.0646563666688284,853036.979046512,499436.979405669
"42",142,"Sockeye","Kasilof","8/22/17","9/7/17","GOA","Cook Inlet","Upper Cook Inlet","AK",60.39,-151.3,6,"Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)",43,1968,2010,1.91026642908468,3.0498448342416e-06,327885.533313917,814790.473746629,0.46334045206346,0.732336190324327,0.352855688612884,0.904929830067786,0.86046511627907,1.69286133056696,1.90419323070281e-06,525156.787597085,1050013.38597265,0.404330770039281,0.53452621878975,0.206985834437036,0.00753469585153684,-0.184018737788788,224025.591487442,115221.569938636
"44",144,"Sockeye","Frazer","8/26/17","9/7/17","GOA","Kodiak","Kodiak","AK",57.13,-154.04,5,NA,44,1966,2009,1.675659633085,5.44355842936498e-06,183703.364807394,361037.540055384,0.821495552581554,0.0769087261593047,-0.218141176036034,0.359076575539708,0.636363636363636,1.66610478298378,5.38155479025427e-06,185819.905022792,361724.450340792,0.821509142253067,0.0756249288415563,-0.0197139275714182,0.23788739761284,0.0452603105353104,157794,113574.983893338
"45",145,"Sockeye","Ayakulik","8/26/17","9/7/17","GOA","Kodiak","Kodiak","AK",57.2,-154.54,5,NA,45,1966,2010,0.847343391766019,8.68128819618845e-07,1151902.77917401,988821.506316488,0.62799215420429,0.469253334412047,0.177569920615495,0.685147700901813,1,0.81387875774797,7.89269269397813e-07,1266994.72381963,1051824.7308387,0.629153226429446,0.464942495454932,0.0356620626371748,-0.0763125715733192,0.00472747417427259,261592.035904444,146890.725005021
"46",146,"Sockeye","Early Upper Station","8/26/17","9/7/17","GOA","Kodiak","Kodiak","AK",57.06,-154.36,5,"Early run",42,1969,2010,0.830289041520926,5.43876658555142e-06,183865.217282277,155165.45759574,0.647102741323808,0.332586722375572,0.0282724313618806,0.580480974233942,1,0.828563433840031,5.263604461739e-06,189983.880298942,160052.62411386,0.648489923127072,0.33618554318065,-0.155316001066714,-0.159967667470679,0.157075640259768,50942.4761904762,30187.5196924548
